title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
Advances in Technology Innovation,Taiwan Association of Engineering and Technology Innovation,journal,ENVI;BUSI;ENER;ENGI;COMP,"Management of Technology and Innovation;Energy Engineering and Power Technology;Renewable Energy, Sustainability and the Environment;Engineering (all);Computer Science (all);Environmental Engineering",0.494,0.209,24,65,8,0.0,24,96,13,0.0,18,88,17,0.0,1.4,1.9
"African Journal of Research in Mathematics, Science and Technology Education",Taylor and Francis Ltd.,journal,MATH;PHYS;SOCI;ENGI;COMP,Education;Engineering (all);Physics and Astronomy (all);Mathematics (all);Computer Science Applications,0.784,0.359,22,345,10,0.0,28,347,20,0.0,25,295,21,0.0,1.5,2.0
"African Journal of Science, Technology, Innovation and Development",Taylor and Francis Ltd.,journal,ENGI;SOCI;COMP,Computer Networks and Communications;Development;Computer Science Applications;Civil and Structural Engineering,0.669,0.414,172,936,27,0.0,80,1178,22,0.0,69,1148,53,0.0,3.3,3.0
Agris On-line Papers in Economics and Informatics,Faculty of Economics and Management,journal,ECON;ENVI;SOCI;AGRI;COMP,"Geography, Planning and Development;Computer Science (miscellaneous);Management, Monitoring, Policy and Law;Agricultural and Biological Sciences (miscellaneous);Economics, Econometrics and Finance (miscellaneous)",0.326,0.232,40,481,10,0.0,40,495,21,0.0,30,353,26,0.0,1.9,2.2
"Aibi, Revista de Investigacion Administracion e Ingenierias",Universidad de Santander,journal,ENGI;COMP,Electrical and Electronic Engineering;Industrial and Manufacturing Engineering;Engineering (miscellaneous);Computer Science (miscellaneous),0.15,0.116,41,21,30,2.44,38,44,30,2.63,29,54,25,6.9,0.4,0.4
Algorithmic Finance,IOS Press BV,journal,ECON;MATH;COMP,Finance;Computer Science Applications;Computational Mathematics;Computer Vision and Pattern Recognition,0,0.102,5,64,4,0.0,4,66,3,0.0,0,62,0,0.0,0.5,0.4
Algorithmica,Springer New York,journal,MATH;COMP,Computer Science Applications;Applied Mathematics;Computer Science (all),1.151,0.905,139,4047,26,0.0,136,4127,59,0.0,128,3386,103,0.0,2.7,2.8
Algorithms,Multidisciplinary Digital Publishing Institute (MDPI),journal,MATH;COMP,Theoretical Computer Science;Numerical Analysis;Computational Theory and Mathematics;Computational Mathematics,0.892,0.513,483,4412,78,5.38,573,5733,174,4.19,470,5990,369,5.96,4.0,4.1
Algorithms for Molecular Biology,BioMed Central Ltd,journal,MATH;BIOC;COMP,Structural Biology;Molecular Biology;Computational Theory and Mathematics;Applied Mathematics,0.561,0.654,17,991,4,0.0,21,864,6,0.0,22,864,12,0.0,2.7,2.4
Aloma,"Facultat de Psicologia, Ciencies de l'Educacio i de l'Esport Blanquerna",journal,PSYC;SOCI;COMP;HEAL,"Education;Psychology (miscellaneous);Physical Therapy, Sports Therapy and Rehabilitation;Computer Networks and Communications",0.517,0.321,13,99,4,0.0,20,100,9,0.0,7,136,4,0.0,2.0,2.5
