title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Asian Affairs,Routledge,journal,ECON;SOCI,"Political Science and International Relations;Law;Geography, Planning and Development;Economics and Econometrics",2.224,0.230,1.7,1.7,45,316,20,0.0,35,416,20,0.0,13,348,13,0.0
Asian Development Policy Review,Asian Economic and Social Society,journal,ECON;SOCI;ENVI,"Management, Monitoring, Policy and Law;Sociology and Political Science;Economics, Econometrics and Finance (all);Development",0.267,0.146,1.1,0.9,19,29,8,0.0,17,55,5,5.88,25,64,23,0.0
Asian Development Review,World Scientific,journal,ECON;SOCI,"Geography, Planning and Development;Economics and Econometrics;Development",1.001,0.525,2.3,2.3,18,415,4,0.0,23,481,11,0.0,26,458,23,0.0
Asian Economic Journal,Wiley-Blackwell Publishing Ltd,journal,ECON;SOCI,"Geography, Planning and Development;Economics and Econometrics;Development",0.686,0.284,1.3,1.5,20,482,7,0.0,20,479,13,0.0,16,432,15,0.0
Asian Economic Papers,MIT Press Journals,journal,ECON;SOCI,Political Science and International Relations;Finance;Economics and Econometrics,1.208,0.800,9.0,7.5,16,493,1,0.0,17,466,8,0.0,22,422,18,0.0
Asian Economic Policy Review,Wiley-Blackwell Publishing Ltd,journal,ECON;SOCI;ENVI,"Political Science and International Relations;Management, Monitoring, Policy and Law;Economics, Econometrics and Finance (all)",2.353,1.512,14.1,12.9,37,390,17,32.43,34,547,24,29.41,53,587,45,33.96
Asian Economic and Financial Review,Asian Economic and Social Society,journal,ECON;BUSI;SOCI,"Business, Management and Accounting (all);Economics, Econometrics and Finance (all);Development",0.45,0.204,2.2,1.8,70,412,22,2.86,70,546,34,4.29,46,770,40,0.0
Asian Journal of Business Ethics,Springer Science and Business Media B.V.,journal,ARTS;BUSI;SOCI;ECON,"Social Sciences (miscellaneous);Business, Management and Accounting (all);Philosophy;Economics, Econometrics and Finance (miscellaneous)",0.482,0.369,4.2,2.6,20,179,2,0.0,23,276,5,0.0,36,463,31,0.0
Asian Journal of Economic Modelling,Asian Economic and Social Society,journal,ECON;SOCI,"Economics, Econometrics and Finance (miscellaneous);Economics and Econometrics;Development",0.363,0.169,1.3,1.2,18,22,5,5.56,11,56,5,0.0,13,56,8,0.0
Asian Journal of Law and Economics,Walter de Gruyter GmbH,journal,ECON;SOCI,"Economics, Econometrics and Finance (miscellaneous);Law",0.608,0.312,0.9,1.1,17,52,10,5.88,15,72,11,0.0,19,66,16,0.0
